2015-01-16T11:50:52.182+0800: 78006.898: [GC [PSYoungGen: 560652K->87560K(576000K)] 2561337K->2090476K(3989504K), 0.0765630 secs] [Times: user=0.42 sys=0.08, real=0.07 secs] 
2015-01-16T11:53:01.102+0800: 78135.818: [GC [PSYoungGen: 556552K->99306K(574976K)] 2559468K->2103413K(3988480K), 0.0849520 secs] [Times: user=0.52 sys=0.18, real=0.08 secs] 
2015-01-16T11:55:10.482+0800: 78265.197: [GC [PSYoungGen: 567274K->103437K(571904K)] 2571381K->2108243K(3985408K), 0.0723630 secs] [Times: user=0.57 sys=0.00, real=0.07 secs] 
2015-01-16T11:58:46.988+0800: 78481.704: [GC [PSYoungGen: 571405K->91246K(573952K)] 2576211K->2097292K(3987456K), 0.0731990 secs] [Times: user=0.57 sys=0.00, real=0.08 secs] 
2015-01-16T12:01:32.352+0800: 78647.067: [GC [PSYoungGen: 555630K->96504K(573440K)] 2561676K->2103398K(3986944K), 0.1202040 secs] [Times: user=0.48 sys=0.05, real=0.12 secs] 
2015-01-16T12:04:17.660+0800: 78812.375: [GC [PSYoungGen: 560888K->96576K(576000K)] 2567782K->2105079K(3989504K), 0.0762660 secs] [Times: user=0.54 sys=0.03, real=0.08 secs] 
2015-01-16T12:07:21.248+0800: 78995.964: [GC [PSYoungGen: 564544K->101597K(574976K)] 2573047K->2111565K(3988480K), 0.0760130 secs] [Times: user=0.55 sys=0.00, real=0.08 secs] 
2015-01-16T12:10:04.699+0800: 79159.415: [GC [PSYoungGen: 569565K->104468K(570880K)] 2579533K->2115035K(3984384K), 0.0686460 secs] [Times: user=0.43 sys=0.00, real=0.07 secs] 
2015-01-16T12:12:58.882+0800: 79333.598: [GC [PSYoungGen: 567316K->92559K(572928K)] 2577883K->2103639K(3986432K), 0.0648020 secs] [Times: user=0.57 sys=0.00, real=0.06 secs] 
2015-01-16T12:16:27.354+0800: 79542.069: [GC [PSYoungGen: 555407K->96558K(574976K)] 2566487K->2108559K(3988480K), 0.0695700 secs] [Times: user=0.39 sys=0.04, real=0.07 secs] 
2015-01-16T12:19:36.437+0800: 79731.153: [GC [PSYoungGen: 561966K->101989K(573440K)] 2573967K->2114654K(3986944K), 0.0683890 secs] [Times: user=0.55 sys=0.01, real=0.07 secs] 
2015-01-16T12:22:29.088+0800: 79903.804: [GC [PSYoungGen: 567397K->90371K(573952K)] 2580062K->2104556K(3987456K), 0.0888590 secs] [Times: user=0.93 sys=0.00, real=0.09 secs] 
